stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
614,,Shop-Rite Stroudsburg Plaza / McConnell St,By side of store,40.990042,-75.189976
624,,Analomink / S Kistler Sts,Loder Senior Center / Shirley Futch Plaza,40.999478,-75.18119
626,,Crystal St / Dansbury Depot,On Parking signs. Remove from Stop sign ,40.9982,-75.18174
629,,Avon Ct / Day St,Dansbury Park,40.998332,-75.185871
631,,Day St / Lenox Ave, On Speed sign & No Parking sign,41.000196,-75.187651
636,,N Courtland St / Lenox Ave,,41.001926,-75.182963
642,,N Courtland St / Rt 447,Wendy's,41.015657,-75.182907
643,,N Courtland St / Maple Ave,East Stroudsburg High School South,41.007674,-75.18435
644,,4th / McConnell Sts,Shop-Rite Plaza,40.987922,-75.190487
645,,Stroud Mall / Burger King,!Transfer Point Moved to Burger King!,40.987858,-75.225077
645A,,Stroud Mall Front Entrance,No Transfers at this location,40.989386,-75.225036
646,,7th / Main Sts,209N by 701 Main / 209S by Brownies,40.985363,-75.194115
647,,3rd St / Lower Main,Route 209N by Gulf station,40.98936,-75.188212
686,,University Ridge / E. Brown St,,40.999938,-75.158916
996,,DEWA South Contact Station / US 209,No Sign,41.082347,-75.01719
997,,Mt Airy Resort and Casino / Woodland Rd,Casino Entrance,41.113334,-75.320299
899,,Tobyhanna Army Depot,Main Gate,41.195552,-75.427267
898,,Pocono Ambulance / Rte 611,,41.037731,-75.304595
402,,Weis Market Stroudsburg Plaza / PA Rte 611,Near Entrance,40.989301,-75.218522
418,,Eastern Monroe Public Library / PA Rte 611,Hughes Library,40.990151,-75.217220
201,,MCTA / PA Rte 611,Home of the Pocono Pony / Swiftwater State Police Barracks,41.076742,-75.326775
414,,N. 5th St / Oakwood Ave,Beseckers Diner,41.002501,-75.198899
489,,Weis Eagle Valley,N. Courtland and Milford Rd,41.017883,-75.183228
459,,Milford Rd / Pocono Candle,JT Lambert Elementary School,41.022496,-75.175073
4591,,Milford Rd / Milford Commons,Milford Commons,41.02383,-75.17238
468,,Milford Rd / Pocono Palace,Sunoco / Sticks and Stones,41.064260,-75.062463
437,,K-Mart East Stroudsburg,,40.991374,-75.18205
701,,PEEC,Pocono Environmental Education Center,41.171047,-74.91446
702,,Tom's Creek,Hiking trails,41.126603,-74.9549
703,,Bushkill Boat Launch,,41.107263,-74.98476
704,,DEWA Visitors Center,,41.090034,-75.00433
705,,DEWA Smithfield Beach,Stop located at beach house,41.029259,-75.052604
706,,Shawnee on Delaware Village,River Rd and Hollow Rd,41.0122212,-75.110393
707,,Shawnee Inn,by main parking area,41.006601,-75.110006
708,,Dingman's Falls Visitor Center,,41.22870,-74.88686
709,,Dingman's Boat Launch,,41.21888,-74.86124
710,,Milford Beach,,41.31024,-74.79601
711,,Downtown Milford,Hotel Fauchere - E. Catherine St.,41.32350,-74.80125
712,,Bushkill Village,in the parking lot of the Bushkill General Store,41.09229,-75.00272
713,,Martz / Days Inn / Smithfield Township,Martz parking lot by building,41.00358,-75.15513
714,,DEWA North Contact Station / US 209,,41.30982,-74.80591
715,,Dingman's Campground,,41.21146,-74.87406
